"uc_ea","uc","num_ea","bioma","regiao","expedicao","ano","tribo","soma_individuos"
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_2","2022","Preponini",22
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_2","2022","Satyrini",206
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Ageroniini",2
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Anaeini",1
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Biblidini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Brassolini",19
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Callicorini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Coeini",9
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Epicaliini",1
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Epiphilini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Haeterini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Melanitini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Morphini",38
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Preponini",23
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_1","2022","Satyrini",60
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Ageroniini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Anaeini",1
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Biblidini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Brassolini",26
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Callicorini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Coeini",20
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Epicaliini",3
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Epiphilini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Haeterini",1
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Melanitini*",0
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Morphini",22
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Preponini",3
"Esec_da_Terra_do_Meio_5","Esec_da_Terra_do_Meio",5,"Amazonia","central","2022_2","2022","Satyrini",68
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Ageroniini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Anaeini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Biblidini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Brassolini",9
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Callicorini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Coeini",3
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Epicaliini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Epiphilini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Haeterini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Melanitini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Morphini",30
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Preponini",6
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_1","2022","Satyrini",49
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Ageroniini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Anaeini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Biblidini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Brassolini",17
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Callicorini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Coeini",9
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Epicaliini",1
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Epiphilini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Haeterini*",0
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Melanitini",1
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Morphini",18
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Preponini",7
"Esec_da_Terra_do_Meio_6","Esec_da_Terra_do_Meio",6,"Amazonia","central","2022_2","2022","Satyrini",28
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Ageroniini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2018_1","2018","Anaeini",10
