uc_ea;uc;num_ea;bioma;regiao;expedicao;ano;tribo;soma_individuos;max_dia_amostragem;esforco_amostral;esforco_total_anual
Esec_da_Terra_do_Meio_4;Esec_da_Terra_do_Meio;4;Amazonia;central;2022_2;2022;Haeterini;3;6;96;576
Esec_da_Terra_do_Meio_4;Esec_da_Terra_do_Meio;4;Amazonia;central;2022_2;2022;Melanitini;0;6;96;576
Esec_da_Terra_do_Meio_4;Esec_da_Terra_do_Meio;4;Amazonia;central;2022_2;2022;Morphini;31;6;96;576
Esec_da_Terra_do_Meio_4;Esec_da_Terra_do_Meio;4;Amazonia;central;2022_2;2022;Preponini;22;6;96;576
Esec_da_Terra_do_Meio_4;Esec_da_Terra_do_Meio;4;Amazonia;central;2022_2;2022;Satyrini;206;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Ageroniini;2;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Anaeini;1;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Biblidini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Brassolini;19;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Callicorini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Coeini;9;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Epicaliini;1;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Epiphilini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Haeterini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Melanitini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Morphini;38;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Preponini;23;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_1;2022;Satyrini;60;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Ageroniini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Anaeini;1;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Biblidini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Brassolini;26;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Callicorini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Coeini;20;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Epicaliini;3;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Epiphilini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Haeterini;1;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Melanitini;0;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Morphini;22;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Preponini;3;6;96;576
Esec_da_Terra_do_Meio_5;Esec_da_Terra_do_Meio;5;Amazonia;central;2022_2;2022;Satyrini;68;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Ageroniini;0;6;96;576
Esec_da_Terra_do_Meio_6;Esec_da_Terra_do_Meio;6;Amazonia;central;2022_1;2022;Anaeini;0;6;96;576
