Grupo;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
Borboletas de florestas abertas/perturbadas ;;;;NA ;1 ;1,187 ;0,410 ;0,595 ;1,384 
Borboletas de florestas fechadas/preservadas ;;;;NA ;1 ;1,027 ;0,841 ;1,148 ;1,029 
