Grupo;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
Borboletas de florestas abertas/perturbadas ;NA ;NA ;1 ;0,842 ;0,843 ;1,711 ;-0,4 ;1,518 ;0,847 
Borboletas de florestas fechadas/preservadas ;NA ;NA ;1 ;1,342 ;0,986 ;1,003 ;1,172 ;0,696 ;1,239 
