Grupo;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
Borboletas de florestas abertas/perturbadas ;;;NA ;1 ;0,287 ;1,224 ;0,965 ;1,011 ;1,295 
Borboletas de florestas fechadas/preservadas ;;;1 ;1,069 ;0,875 ;1,001 ;0,696 ;1,437 ;0,691 
