Grupo;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
Borboletas de florestas abertas/perturbadas ;NA ;NA ;1 ;1,119 ;1,088 ;0,606 ;1,254 ;1,556 ;0,507 
Borboletas de florestas fechadas/preservadas ;1 ;0,94 ;1,427 ;0,605 ;1,146 ;0,884 ;1,062 ;1,137 ;0,846 
