Grupo;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
Borboletas de florestas abertas/perturbadas ;;NA ;1 ;-0,314 ;2,114 ;-0,333 ;;1,888 ;0,208 
Borboletas de florestas fechadas/preservadas ;;1 ;0,972 ;0,852 ;0,871 ;0,968 ;;0,684 ;0,789 
