Nº;UC;Bioma;UF;ARPA;Alvo;2014;2015;2016;2017;2018;2019;2020;2021;2022;EA por alvo;EA por UC;UA por alvo;UA por UC;Consolidada;Protocolo Avançado
20;PARNA da Serra dos Órgãos;Matl;RJ;;MaAv;1*;1*;1*,2;2*;1,2;1,2;1,2;1,2;1,2;2;2;2;12;;x
;PARNA da Serra dos Órgãos;;;;Borbo;;;1;1, 2;1,2;1,2;1,2;1,2;1,2;2;;8;;;
;PARNA da Serra dos Órgãos;;;;Plan;1;;2;;;1,2*;;;;2;;2;;;x
21;PARNA de Brasília ;Cerd;DF;;MaAv;;;;;;;;;;;1;;5;;
;PARNA de Brasília *;;;;Borbo;;;;1;1;1;1;1;1*;1;;4;;;x
;PARNA de Brasília;;;;Plan;1;;;;1*;;;;;1;;1;;;x
22;PARNA de Pacaás Novos;Amz;RO;x;MaAv;;;;;;;1,2,3;1,2,3;2,3;3;3;3;18;x;
;PARNA de Pacaás Novos;;;;Borbo;;;;;;1,2,3;1,2,3;1,2,3;1,2,3;3;;12;;;
;PARNA de Pacaás Novos;;;;Plan;;;;;;1,2,3;;;;3;;3;;;
23;PARNA do Cabo Orange;Amz;AP;x;MaAv;;;1,2;1,2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;x
;PARNA do Cabo Orange;;;;Borbo;;;1,2;1,2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;;12;;;
;PARNA do Cabo Orange;;;;Plan;;;;1,2,3*;;;;;1,2,3;3;;3;;;x
24;PARNA do Iguaçu;Matl;PR;;MaAv;;;1;1;1;1;1;1;1;1;1;1;5;;
;PARNA do Iguaçu;;;;Borbo;;;1;1;1*;1;1;1;1*;1;;4;;;x
;PARNA do Iguaçu;;;;Plan;;;;;;;;;;;;;;;
25;PARNA do Jaú;Amz;AM;x;MaAv;;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;PARNA do Jaú;;;;Borbo;;1,2,3;1,2,3;1,2,3;1,2,3*;1,2,3*;1,2,3;1,2,3*;1,2,3*;3;;12;;;x
;PARNA do Jaú;;;;Plan;1,2;;;1,2,3*;;;;;1,2,3;3;;3;;;x
26;PARNA do Juruena;Amz;MT;x;MaAv;;;1,2,3;1,2,3*;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;Team e Tr
;PARNA do Juruena;;;;Borbo;;;;1,2,3*;1,2,3*;1,2,3;1,2,3;1,2,3;1,2,3;3;;12;;;x
;PARNA do Juruena;;;;Plan;;;;1,2,3*;;;;;1,2,3;3;;3;;;x
27;PARNA do Monte Roraima;Amz;RR;x;MaAv;;;;;;2;;3;3;2;2;2;11;;
;PARNA do Monte Roraima;;;;Borbo;;;;;;1*;;3*;3*;2;;8;;;x
;PARNA do Monte Roraima;;;;Plan;;;;;;1;;;;1;;1;;;
28;PARNA do Superagui;Matl;PR;;MaAv;1;1;1;1;1,2;1,2;1,2;1,2;2;2;3;2;17;;
;PARNA do Superagui;;;;Borbo;;;1;1;1, 2;1,2;1,2;1,2;1,2,3;3;;12;;;
;PARNA do Superagui;;;;Plan;;;1;;2;3;;1;;3;;3;;;
29;PARNA Viruá;Amz;RR;x;MaAv;;;;;1;1;1;1;1, 2;2;2;2;11;;
;PARNA Viruá;;;;Borbo;;;;;1*;1*;1*;1*;1, 2*;2;;8;;;x
;PARNA Viruá;;;;Plan;;;;;;1;;;;1;;1;;;
30;PARNA dos Campos Amazonicos ;Amz;AM;x;MaAv;;;;;;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;PARNA dos Campos Amazônicos;;;;Borbo;;;;;;;;1,2,3*;1,2,3*;3;;12;;;x
;PARNA dos Campos Amazônicos;;;;Plan;;;;;;1,2,3;;;;3;;3;;;
31;PARNA Mapinguari;Amz;AM/RO;x;MaAv;;;;1;1,2,3;1,2,3;4,5,6;1,2,3,4,5,6;1,2,3,4,5,6;6;6;6;36;x;Team
;PARNA Mapinguari;;;;Borbo;;;;;1,2*;1,2,3*;4,5,6*;1,2,3,4,5,6*;1,2,3,4,5,6*;6;;24;;;x
;PARNA Mapinguari;;;;Plan;;;;1;1,2,3*;;;4,5,6;1;6;;6;;;x
32;PARNA Montanhas do Tumucumaque;Amz;AP;x;MaAv;1;1, 2;1,2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;Team
;PARNA Montanhas do Tumucumaque;;;;Borbo;;;1,2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;;12;;;
;PARNA Montanhas do Tumucumaque;;;;Plan;1;2;;1,2,3;;;;1,2,3;;3;;3;;;x
33;PARNA Nascentes do Lago Jari;Amz;AM;x;MaAv;;;;;;1,2,3;1,2,3;1,2,3;1,2,3;3;3;3;18;x;
;PARNA Nascentes do Lago Jari;;;;Borbo;;;;;;;;;1,2,3*;3;;12;;;x
;PARNA Nascentes do Lago Jari;;;;Plan;;;;;;1,2,3;;;;3;;3;;;
34;PARNA Serra da Mocidade;Amz;RR;x;MaAv;;;;1;1;1;1;1;1;1;1;1;6;;Trilha
;PARNA Serra da Mocidade;;;;Borbo;;;;1;1*;1*;1*;1*;1*;1;;4;;;x
