ordem;familia;taxon_validado;nome_comum;categoria
Primates ;Atelidae ;Brachyteles arachnoides;buriqui, buriquim, mariquina, mono, mono-carvoeiro, muriqui-do-sul, muriquina, muriquinina ;EN
Primates ;Atelidae ;Lagothrix lagothricha cana;macaco-barrigudo ;EN
Primates ;Atelidae ;Lagothrix lagothricha poeppigii;macaco-barrigudo ;VU
Primates ;Callitrichidae ;Callimico goeldii ;calimico, macaco-de-goeldi, mico-preto, sagui-de-goeldi, soim-preto, taboqueiro ;
Primates ;Callitrichidae ;Callithrix aurita;sagui-caveirinha, sagui-da-serra-escuro ;EN
Primates ;Callitrichidae ;Callithrix jacchus ;mico, mico-estrela, nico, sagui, sagui-comum, sagui-de-tufo-branco, sagui-do-nordeste ;
Primates ;Callitrichidae ;Callithrix penicillata ;mico-estrela, sagui-de-tufos-pretos ;
Primates ;Callitrichidae ;Callithrix sp. ;micos;
Primates ;Callitrichidae ;Cebuella pygmaea ;mico-leãozinho, sagui-leãozinho, sagui-pigmeu ;
Primates ;Callitrichidae ;Leontopithecus chrysomelas;mico-leão-da-cara-dourada ;EN
Primates ;Callitrichidae ;Mico argentatus ;sagui-argênteo ;
Primates ;Callitrichidae ;Mico emiliae ;sagui-de-snethlage ;
Primates ;Callitrichidae ;Mico humeralifer ;sagui-de-tufos ;
Primates ;Callitrichidae ;Mico leucippe ;sagui-de-orelha-nua-branco, souim-branco ;
Primates ;Callitrichidae ;Mico melanurus ;sagui-marrom ;
Primates ;Callitrichidae ;Mico rondoni;macaquinho-branco, mico-de-rondônia, sagui-branco ;VU
Primates ;Callitrichidae ;Mico sp. ;saguis;
Primates ;Callitrichidae ;Saguinus imperator ;bigodeiro, mono-bigotudo, mono-nicolás-suárez ;
Primates ;Callitrichidae ;Saguinus midas ;sagui-da-mão-dourada ;
Primates ;Callitrichidae ;Saguinus niger;guaribinha, sagui-una ;
Primates ;Callitrichidae ;Saguinus sp. ;saguis;
Primates ;Callitrichidae ;Saguinus weddelli ;sagüi, sagui-preto, sauim, soim, soim preto, soim-vermelho ;
Primates ;Cebidae ;Cebus albifrons ;caiarara ;
Primates ;Cebidae ;Cebus kaapori;caiarara, caiarara-ka’apor, macaco-cara-branca, piticó ;CR
Primates ;Cebidae ;Cebus olivaceus ;caiarara, cairara, macaco-prego ;
Primates ;Cebidae ;Cebus sp. ;cairaras;
Primates ;Cebidae ;Cebus unicolor ;caiarara ;
Primates ;Cebidae ;Saimiri boliviensis ;macaco-de-cheiro, macaco-mão-de-ouro ;
Primates ;Cebidae ;Saimiri cassiquiarensis ;macaco-de-cheiro ;
Primates ;Cebidae ;Saimiri collinsi ;macaco-de-cheiro, macaco-mão-de-ouro ;
Primates ;Cebidae ;Saimiri macrodon ;macaco-de-cheiro ;
Primates ;Cebidae ;Saimiri sciureus ;amarelinho, capijuba, macaco-de-cheiro, mão-de-ouro, mico-de-cheiro ;
Primates ;Cebidae ;Saimiri sp. ;macacos-de-cheiro;
Primates ;Cebidae ;Saimiri ustus ;macaco-de-cheiro, mico-de-cheiro ;
Primates ;Cebidae ;Sapajus apella ;macaco-prego ;
Primates ;Cebidae ;Sapajus cay;macaco-prego, macaco-prego-do-papo-amarelo ;VU
Primates ;Cebidae ;Sapajus libidinosus ;macaco-prego, macaco-prego-amarelo ;
Primates ;Cebidae ;Sapajus macrocephalus ;macaco-prego ;
Primates ;Cebidae ;Sapajus nigritus ;macaco-prego, mico ;
