;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
EA ;25 ;30 ;51 ;69 ;85 ;95 ;?? ;?? ;?? 
UA ;44 ;46 ;86 ;143 ;174 ;239 ;?? ;?? ;?? 
