"x"
"Esec da Terra do Meio"
"Esec de Maracá"
"Esec de Niquiá"
"Esec de Pirapitinga"
"Esec do Jari"
"Esec do Rio Acre"
"Esec Serra Geral do Tocantins"
"Flona de Tapajós"
"Flona do Jamari"
"Parna da Amazônia"
"Parna da Chapada dos Veadeiros"
"Parna da Serra da Bocaina"
"Parna da Serra da Bodoquena"
"Parna da Serra da Cutia"
"Parna da Serra do Cipó"
"Parna da Serra do Divisor"
"Parna da Serra do Pardo"
"Parna da Serra dos Órgãos"
"Parna de Pacaás Novos"
"Parna do Cabo Orange"
"Parna do Iguaçu"
"Parna do Jaú"
"Parna do Juruena"
"Parna do Monte Roraima"
"Parna do Superagui"
"Parna do Viruá"
"Parna dos Campos Amazônicos"
"Parna Mapinguari"
"Parna Montanhas do Tumucumaque"
"Parna Nascentes do Lago Jari"
"Parna Serra da Mocidade"
"Rebio de Una"
"Rebio do Gurupi"
"Rebio do Jaru"
"Rebio do Tapirapé"
"Rebio do Uatumã"
"Rebio Guaribas"
"Rebio Trombetas"
"Resex Arapixi"
"Resex Barreiro das Antas"
"Resex Chico Mendes"
"Resex do Alto Tarauacá"
"Resex do Cazumbá-Iracema"
"Resex do Lago do Capanã Grande"
"Resex do Rio do Cautário"
"Resex Ipaú-Anilzinho"
"Resex Renascer"
"Resex Rio Ouro Preto"
"Resex Riozinho da Liberdade"
"Resex Riozinho do Anfrísio"
"Resex Tapajós-Arapiuns"
"Resex Verde para Sempre"
